one_liner,name
IllumiPaper integrates visual feedback for digital pens on standard paper by using novel thin-film technologies.,IllumiPaper: Illuminated Interactive Paper
A microcontroller plays melodies on a glockenspiel using two servo controlled mallets.,Charillino - a glockenspiel jukebox
arduinosensorbox - Tutorial: Arduino Yun Streaming Sensor Box,arduinosensorbox
"Arduino Create simplifies building a project as a whole, without having to switch between many different tools to manage all the aspects ...",Arduino Create
"This Instructable will show you how to make a Portable Digital Optical Tachometer using an Arduino Uno. Instead of a slotted sensor , it ...",Measure RPM - Optical Tachometer
davinci_filament_reset_arduino - Da Vinci 3D Printer Filament EEPROM Reset Arduino Sketch,davinci_filament_reset_arduino
Contribute to bitluniHomeAutomation development by creating an account on GitHub.,bitluniHomeAutomation
Arduino - open-source electronics prototyping platform,Arduino
Contribute to Arduino_Spot_Welder_V3 development by creating an account on GitHub.,Arduino_Spot_Welder_V3
This is where you're going to learn a whole bunch of stuff about Little Robot Friends!,Little Robot Friends
"Arduino Create simplifies building a project as a whole, without having to switch between many different tools to manage all the aspects ...",Arduino Create
"Learn Arduino, Lesson 13. DC Motors",Arduino Code
AutoArduino-Sketch - Sketch used with the AutoArduino Android app,AutoArduino-Sketch
"Khoa nhi Bệnh viện đa khoa Hồng Ngọc chuyên điều trị nhi khoa chuyên sâu về các bệnh thần kinh, tiêu hóa, nội tiết, tiết niệu, tim phổi, ...",BV Hồng Ngọc khám sức khoẻ miễn phí cho tổ chức…
"KMSpico for Windows 10/8.1/7, Office 2016 free Download",kmspico Microsoft Office 2016 Activator – Genuine Microso...
"Tips which will help you to maximize your Treadmill workouts, <div style=""white-space: normal;"">\r\n<div style=""white-space: normal;"">\r\n<p ...",Tips which will help you to maximize your Treadmill worko...
this a mini CNC 2D plotter made from old DVD drive and L293D motor shield very cheap but intrestinglet see how to make It is very easy to...,How to Make Arduino Based Mini CNC Plotter Using DVD Drive
Arduino Tutorial 16 : Ultrasonic Sensor HC-SR04 with Buzzer and LED,Ultrasonic Sensor HC-SR04 with Buzzer and LED
Adafruit_MPL3115A2_Library - Arduino library for the MPL3115A2 sensors in the Adafruit shop,Adafruit_MPL3115A2_Library
"Record high altitude weather balloon data with the ultimate high altitude weather balloon data logger. A high altitude weather balloon, a...",The Ultimate High Altitude Weather Balloon Data Logger
"Arduino Create simplifies building a project as a whole, without having to switch between many different tools to manage all the aspects ...",Arduino Create
"In questo esempio IoT utilizzo il modulo ESP8266-12E per comandare da remoto, tramite WI-FI, dei relè, che a loro volta comandano un tele...",Apertura cencello IoT controllato via Wi-FI (ESP8266)
Introducing Adafruit's mini wearable microcontroller,Setting up with Arduino IDE
"\n\t\n\n\nI made a xylophone that uses an Arduino Mega to detect when a note is struck, and generate MIDI output. This project is wondeful bec...",Arduino Xylophone
We want to democratize data science. We will publish an open source tool that allows non-technical people to use data science to solve pr...,Tamahagane
"Arduino Create simplifies building a project as a whole, without having to switch between many different tools to manage all the aspects ...",Arduino Create
"UtpattiEcom Company is a global 360* business solution firm and we offer brand promotion, animation, digital media marketing, esolution a...",360 businesses Solution and Brand Promotion at UtpattiEcom
arduinosensorbox - Tutorial: Arduino Yun Streaming Sensor Box,arduinosensorbox
arduinosensorbox - Tutorial: Arduino Yun Streaming Sensor Box,arduinosensorbox
ArduinoBot is Robot application which provides facility to take orders from the customers and fetch the data by the software application ...,Arduino Line Following Robot
IR-Remote-Parameters - This codes will let you analyze various IR parameters with the help of your Arduino Board,IR-Remote-Parameters
تصميم و تنفيذ آلة cnc-robot متعددة المهام - ترسم بالألوان - تقص و تنقش بالليزر - تتحول الى طابعة 3d و ترسم العجمي على الزجاج و المزيد... ...,"تصميم و تنفيذ آلة cnc-robot متعددة المهام, رسم بالألوان +..."
"Arduino Create simplifies building a project as a whole, without having to switch between many different tools to manage all the aspects ...",Arduino Create
Reading the temperature with an Arduino is an extremely useful function. It's the sort of function that is essential in many projects ran...,How to Read Temperatures With Arduino
Adafruit-Fingerprint-Sensor-Library - Arduino library for interfacing to the fingerprint sensor in the Adafruit shop,Adafruit-Fingerprint-Sensor-Library
One Dimensional Pong on the Arduino,Arduino X-PONG
Discussion DIY simple and inexpensive Arduino-based sailplane variometer DIY Electronics,DIY simple and inexpensive Arduino-based sailplane variom...
"Hefei Desent International Trading Co.,Ltd is a professional leader China Tent, Sleeping bag, Hammock manufacturer with high quality and ...","Tent, Sleeping bag, Hammock, Packsack, Silicone Wristband..."
Para que serve um Arduino? O que ele é capaz de fazer? Qual modelo eu devo comprar? Ele liga no computador? Aprenda tudo isso e descubra ...,"O que é Arduino, afinal de contas? #ManualMaker Aula 4, V..."
"Google Drive is a free way to keep your files backed up and easy to reach from any phone, tablet, or computer. Start with 15GB of Google ...",Meet Google Drive – One place for all your files
"Aplicacion de bloc de notas rapidas online, escribir notas gratis y descargar en el iphone y android.",Python
Buy Spy Cheating Playing Cards in Delhi India from Our Poker Playing Cards Shop in Cheap Price We Deals in Invisible Marked Playing Cards...,Shop Spy Cheating Playing Cards in Delhi India
"This project explores a new approach to presentations: no clicker, no slides. Instead, NFC-tagged objects enable the user to »pick up« to...",Prof. Dr.-Ing. Fabian Hemmert — DataTouch
"We re providing the UK based Instagram Followers, Video Views and satisfying daily 1000 s customers Buy Instagram Followers UK and Likes ...","Buy Instagram Followers UK, Get free Likes on Instagram f..."
The main FastLED library (successor to FastSPI_LED).  Please direct questions/requests for advice to the g+ community - http://fastled.io...,FastLED
Adafruit-Fingerprint-Sensor-Library - Arduino library for interfacing to the fingerprint sensor in the Adafruit shop,Adafruit-Fingerprint-Sensor-Library
"GitHub is where people build software. More than 22 million people use GitHub to discover, fork, and contribute to over 62 million projects.",CatFeeder.ino
mkrfox-init - Simple sketch to retrieve ID+PAC of an Arduino MKRFOX board,mkrfox-init
MavLink_FrSkySPort - APM MavLink to FrSky S.Port converter,MavLink_FrSkySPort
TinyCNC-Sketches - Arduino sketches for the Tiny 3-Axis CNC and drawing robot,TinyCNC-Sketches
Here we will make a Arduino project with Eye Blink sensor. This project can be used for drowsy driver detection and othe eye blink relate...,A WOW project with Eye blink sensor and Arduino | Arduin...
"In this tutorial, we will learn how to use multi-servo with Joystick. We will control two pcs servo motor with one Joystick. You can impl...",Multiple Servo Motor Control with Joystick and Arduino
"During this covid-19 pandemic, doorbell switches might be contaminated and can be a source of infection. This doorbell is a contactless w...",CONTACT-LESS DOORBELL ll FIGHT AGAINST COVID-19 ll MAKE ...
diki_seguidor_de_linha_pid - Código Dick - Robô Seguidor de Linha,diki_seguidor_de_linha_pid
"Arduino Create simplifies building a project as a whole, without having to switch between many different tools to manage all the aspects ...",Arduino Create
"How to Apply, Login Online Payment",How to Pay Walmart Credit Card Bill Online – ePayment
"Tutorial riguardante il mondo di Arduino, come accendere un led utilizzando un pulsante.",Arduino – 02 – Accensione di un Led con un pulsante
"In questo tutorial viene proposto come accendere dei led in sequenza, con un determinato tempismo, in stile supercar con Arduino.",Arduino – Led in sequenza
Use an Arduino UNO/Leonardo with an old TV or DVD Remote and an inexpensive IR Receiver to build your own 'Laser' Tag game. More lessons ...,LasIR Tag Game - Arduino Based
Vuoi sentirti un pò 007? Il progetto di questo mese prevede l'utilizzo di una webcam da cammuffare all'interno di un oggetto per trasform...,Telecamera Nascosta
"Come utilizzare il potenziometro e arduino, esempi di codice per l'utilizzo dello stesso. Sia lato hardware sia lato software. How to use...",Arduino 04 – Potenziometro
Android controlled Home Automation project. This is an arduino based project via Bluetooth. Components: 1. Arduino Uno 2. 5v relay 3. HC-...,Android Controlled Home Automation || Arduino based (via ...
"Seguendo questo tutorial sarete in grado di collegare una bilancia pesa persone, opportunamente hackerata per essere letta da Arduino, al...",Bilancia Cloud
Idee per travestimenti o oggetti cinematici? Dai la voce ad un mostro! Con un piccolo microfono (magari opportunamente nascosto dietro ad...,ParlaParla
"This tutorial shows you how to program with the new Arduino ISP an ATtiny45, ATtiny85, ATtiny44 or ATtiny84 microcontroller using the Ard...",Programming an ATtiny with Arduino ISP
Links: ========= Instructables: http://www.instructables.com/id/DIY-RGB-LED-Shades-Controlled-by-Arduino/ Schematic & Board Layout Downlo...,DIY | Arduino Controlled RGB LED Shades - Part 1
"This is my first Arduino Project. You can see Circuit, Source code and other details on my Blog. http://coronasdk.tistory.com/910",Arduino Project - Automated Mung Bean Sprouts Growing Mac...
Hey everyone today I want to show you how to make an Arduino-controlled lie detector to see when your friends are lying to you :D or to m...,Arduino Lie Detector
In questo tutorial andremo a vedere come realizzare un cannone spara bolle interattivo.,Cannone spara bolle
In questo breve tutorial per i principianti vediamo le principali funzioni di arduino e le basi per poter iniziare a programmarlo. Nel pa...,01 – Lampeggio LED
Dopo una serata all’insegna dell’alcool con gli amici vuoi scoprire chi è il meno ubriaco per riportare gli altri a casa? Oppure vuoi sco...,Etilometro
Hey everyone today I want to show you how to make an Arduino-controlled lie detector to see when your friends are lying to you :D or to m...,Arduino Lie Detector
Hey everyone today I want to show you how to make an Arduino-controlled lie detector to see when your friends are lying to you :D or to m...,Arduino Lie Detector
Hey everyone today I want to show you how to make an Arduino-controlled lie detector to see when your friends are lying to you :D or to m...,Arduino Lie Detector
"Share on Tumblr Advertisements The Fingerprint is one of the safest way to detect and identify the Authorized person, We know that finger...",Fingerprint sensor-scanner with Arduino
This simple tutorial for making an arduino water level indicator shows you the best method to measure water in a tank using an ultrasonic...,How to Make a Water Level Indicator with Arduino
"combobreaker - Motorized, portable, 3D printed, Arduino-based combination lock cracker",combobreaker
"zebra motorola,intermec,datalogic,m3,honeywell,dsic,el terminali,terminalleri,fiyatları,nedir,ikinci el,fiyat, symbol,en ucuz,yazıcılı,pr...",El Terminali
سيارة تعمل ضد جاذبية الارض Voiture contre l'attractivité de la terre,Voiture contre l'attractivité de la terre and سيارة تعمل ...
The Simple Account Authentication System based on PHP,LogAuth
learn arduino in 5 min this vedio will help you to learning programming with arduino,introduction to arduino software
Sencillo código para detectar cuando es pulsado un botón y desencadenar un fragmento de código o una llamada a una función,Cambio de estado de un pulsador
Marlin-DUE - Marlin for Arduino DUE,Marlin-DUE
Making a small  modification in the ESP8266-01 based relay board from TC Techonolgy you can flash Blynk or Sonoff-Tamota firmware.,ESP8266 Relay TC Technology with Blynk or Sonoff-Tamota
Δ∞ [Infinite Delta] is an interactive kinetic installation/performance. ,VISIOPHONE
arduinosensorbox - Tutorial: Arduino Yun Streaming Sensor Box,arduinosensorbox
OVERVIEW In this tutorial we will learn how to use a DHT (DHT11 version) Temperature and Humidity Sensor. It’s accurate enough for most p...,How to use the DHT11 Temperature and Humidity Sensor with...
"Verilogic Solutions is the Best VLSI Training Institute in Bangalore, dedicated to Impart world class complete ASIC Design Flow training ...",VLSI Training Courses
"An example Arudino code of charlieplexing. For details about charlieplexing, read this: http://en.wikipedia.org/wiki/Charlieplexing",charlieprexing3.ino
"Gmail is email that's intuitive, efficient, and useful. 15 GB of storage, less spam, and mobile access.",Gmail
Adafruit_NeoPixel - Neo Pixels!,Adafruit_NeoPixel
"a 3D printed, animatronic telepresence robot - so you can hang out with your friends, even during the quarantine.",Telebot
Arduino Serial ports and AD converter,Serial ports and AD converter
Arduino How to genere a raw image of Linino flash,How to genere a raw image of Linino flash
"Photography, Electronics and DIY",Arduino Astronomical Clock for Automatic Light Control
Arduino Update SPI Flash from U-boot,Update SPI Flash from U-boot
Arduino Sketch with the AVR Toolchain for MIPS,Sketch with the AVR Toolchain for MIPS
"My name is Maxime Coutté. I’m 16 and I built my own VR headset with my best friends, Jonas Ceccon and Gabriel Combe. And it ended up…",Making VR accessible to everyone?
servidor-node - servidor node.js,servidor-node
"IntroductionIn this tutorial, we are going to control the speed of Brushless DC motor using Arduino UNO, Bluetooth Module(HC-05) and And...",Control the Speed of Brushless DC Motor Using Arduino and...
Arduino Burn the bootloader using ATMEL STUDIO,Burn the bootloader using ATMEL STUDIO
A couple of years ago I decided to set up a planted aquarium. I was fascinated by the beauty of those aquariums. I did everything which I...,Automated LED Lighting for Planted Aquarium Using RTC
"  /*Loop* Lights multiple LEDs in sequence, then in reverse.  Demonstratesthe use of a for() loop an",Mission 2
Andruino_Bluetooth - App Android para comunicação via bluetooh com Arduíno.,Andruino_Bluetooth
"Arduino Create simplifies building a project as a whole, without having to switch between many different tools to manage all the aspects ...",Arduino Create
"ST_Anything is an Arduino library, sketch, and Device Type that works with your SmartThings ThingShield to create an all-in-one SmartThin...",ST_Anything
"Arduino Create simplifies building a project as a whole, without having to switch between many different tools to manage all the aspects ...",Arduino Create
Code:https://github.com/oscdeveloper/arduinoLegoTechnicRacerMore photos hereThings used in this project (bought on AliExpress):  1x Ardui...,Arduino Lego Technic Racer 42065 + PS2 + Wireless 2.4GHz ...
There are many such instructable created. But the problem is with getting the materials. I am creating this so that people get to know wh...,Automatic Plant Watering and Soil Moisture Sensing
"Biblioteca Este sensor não necessita de biblioteca. Breve resumo do LDR Adptação de: LDR (do inglês Light Dependent Resistor), em portugu...",Tutorial LDR
"Небольшой проект на Arduino, который печатает приходящие вам на телефон уведомления: сообщения из разнообразных мессенджеров, новости из ...",Учим Arduino печатать телеграммы / Geektimes
"Hi Everyone, I am back again with this new tutorial.In this tutorial I am going to show you how to charge a Lithium 18650 Cell using TP40...",DIY - Solar Battery Charger
Engaging students in STEM education. Run experiments in space with Ardusat.,Ardusat
"For the safety of our skin, during our holidays by the sea and not only, it is good to check the values of ultraviolet rays to which we e...",Ultraviolet sensor ML8511 DIP
Marlin - Optimized firmware for RepRap 3D printers based on the Arduino platform.,Marlin
RollerShutter_MySensors_Nano_Serial_Gateway_x2 - !!!NOT FINISHED YET!!! 2x Roller shutter example for Arduino nano using MySensors librar...,RollerShutter_MySensors_Nano_Serial_Gateway_x2
"Reconhecimento-Facial-Com-Arduino-Processing-OpenCV - Visão computacional: simples projeto de reconhecimento facial usando Arduino, Proce...",Reconhecimento-Facial-Com-Arduino-Processing-OpenCV
"Arduino Create simplifies building a project as a whole, without having to switch between many different tools to manage all the aspects ...",Arduino Create
"Iran Tourist Visa 2016: Find out useful information to apply a visa to travel to Iran. Tips for Iran Visa on arrival, visa at Iranian con...",Iran Tourist Visa 2016
This tutorial will show you how to assemble your new Arduino Case Breadboard Wires Kit!,Assembling Arduino Case Breadboard Wires Kit
Online charter email customer support number 1844-794-2729 to technical support for charter email. With charter email customer care numbe...,Untitled
Arduino Build native C code directly on your board,Build native C code directly on your board
protocentral_vl53l0x - https://www.protocentral.com/motiondistance/1049-protocentral-vl53l0x-laser-tof-sensor-breakout.html,protocentral_vl53l0x
Arduino Create your Christmas tree,Create your Christmas tree
Pogo Technical Support Phone Number +1-844-305-3103. Pogo Tech Support Service provides you the best solution for Pogo Games Problems thr...,Pogo Technical Support Phone Number +1-844-305-3103
Batido - The Shake Paradise and Grill Factory is one of its kind shake house that offers a variety of smooth and unique milk shakes along wi,Batido - The Shake Paradise
Soft increasing of pulse frequency,Soft_generator_start
It will display stuff on the small screen!,Small Display
open a heavy steel door in seconds,Door opener
"Using an FSR and a Hall Effect sensor to try and detect susceptible knee-tear positions, triggering a release from a skier's binding. ",Ski Binding
proyecto de aprendizaje y pruebas,proyecto 0
Next coming to star this project.,BASIC
briefcase portable security system,surveilance
visual of sound that can be turned into jewelry,build2
an alternative solar panel power monitoring for rural areas,fyp - arifazfar
prueba para crear tonos con arduino,proyecto1 - tonos
A first simulator of a remote gate opener,Poort Waarbeke
It's the Project 3 in the Spark Fun inventor's Kit,Shaker
Transforming from gameport to USB,Thrustmaster
it will be a humanoid robot i just hopping that i can make it work,weeny
first try of what can it do on itself,first
Make an rfid lock to control a servo,RFID Lock
This is a water catching/saving device,Smart objects
it senses the touch and makes the LED to turn ON or OFF,touch sensor
datta tracker for genetic breeding enviroments,grove
SENSOR PARA EL TANQUE DE AGUA DEL VEHICULO,SENSOR DE NIVEL DE AGUA
Dustbin see garbeg through ultrasonic sensor,smart dustbin
butooth and infrared home automation,home automation
learning to move the servo motors,Servo movement
it`s a code that open the windows with an applicattion of your cellphone,electric window
I would get laughed off elevator. Rather just fuck around for now.,Because its early as fuck and I don't want to get out board
i dont know what we're doing here,whatever the fuck we're doing at uni
I use this project just to test different functions on the Arduino Uno.,Test
A test project of a proximity sensor,Test Project
Switches stairwell lights off after 3 minutes. When needed keeps lights on for ubdefined timelength. Resets and lights off,Timed staircase lights
First Arduino Project from book,Project 01 Very First
This program is for the 2019 Pansonic creative design challenge.,Pansonic 2019 Delbarton
Colored light shows that will dazzle you!!,Light show
"Channels, screen, lights, and buttons.",Super TV
Starting of Automatic water changing system,Practice
"EDST470 A2, alarm clock project for year 8 students",yr 8 2021 Alarm Clock
Rutine to move or control a motor,Activa Motor
Send Ascii letter over ethernet when you press a button,Push button ethernet command
1st Arduino project - Put a LED blinking,Blinking LED
the car goes forward when there is a wall it stops and search for a another path to go and go in the path which have more space,Obstacle avoiding robot
"first arduino project, turns on light.",Basic Light
it will scroll text on a light board,Lit Board
this is my first program idk what im doing lol,Untitled
"I've made this program for fun, just to check if I could pull this off. It is just  a easy ajustment of the debounce example.",LED change of state
First time testing my skills online,Blink
Learning how to use the platform,test
Programmation d'une borne de satisfaction a trois bouton et deux écran,Untitled
Assistsnt voice contorl his name sk.it oprate  every machine and devics ,assistant voice contorl (sk)
this project is good for beginners because it uses a lot of interesting areas like serial plotter you also get a cool product,heart rate monitor
This device sends the information sensed by a PIR.,Blutooth pir
I am creating a glove that functions hands for you,robotic hand
un carro explorador con cámara ,carro_explorer
the knight rider has 7 cool effect.It also easy to make.Sorry because not have picture,7 effect knight rider LED
smart band to monitor daily activities,Acrivity Tracker
I have no idea what I'm doing so this is a test to figure it out.,Test
"XD, ufa loco no quiero escribir nada quedo okkkk",paolaAB
"Semi automatic labeler for beer's bottle, any type .33 ml to .75ml",Labeler
"Switch all the lights of my 4x4 to led, and control it witch arduino / hardware switch",4x4 Led
code for a robotic lazer pointer,lazerbot
To use an arduino sensor to detect pm 2.5 and pm 10 particles in the air and later covert it to respective AQI representations.,Air Quality Monitor
Learning Programming Arduno. 16/09,FirstProject_Week2
code that interlinked with door buzzer and analog clock using eeprom,door buzzer and digital clock
Precise distance and speed indicator for a normal passenger car. Scale option to precise distance.,Rallye timer
es un proyecto de prueba para aprender a usar el programa,proyecto asi bien chido
"Weight monitoring using aurdino uno, load cell and LCD",Lpg Cylinder
prise en main de l'émulator arduino,premier test
Une litière qui se ramasse toute seule.,Litière pour chat automatique
Flash Keto - How To Lose Stomach Fat,Flash Keto - How To Lose Stomach Fat
Migration de mon viel automate aquarium 2000 sous la plate forme arduino,Aquarium 2000 sous Arduino
my projet is a led lite show with 30 led's,first fineshed
A pen holder that will shine three-color separately.,A LED Pen Holder
im gona try to make a working screan,idk im a begenner
Mock Up of a vending machine using electromagnetic actuators,Beer Vending Machine
réaliser un train de voitures autonomes qui peuvent se déplacer de manière individuelle ou bien ensemble sous forme d'un train.,capteurs
This project measures the amount of time you hold the touch sensor. You can also use a button instead.,Hold time of touch sensor!
"Lokawaaznews - Delhi, India - Listen to free internet radio, news, sports, music, and podcasts. Stream live CNN, FOX News Radio, and MSNBC.",lok awaaz news
Simple Backglow Lighting for Picture,LED Picture Frame
a Arduino board & CNC shield board use in simple sewing machine for convert into embroidery machine,Embroidery machine program
esta fuerte el asunto solo es para un 10:),proyecto sierra/taladro
Buenas tengo un error en el char del boton que guarda los datos recividos del teclado,Funcion de Teclado Matricial Cool
Fully Assembled and Programmed IoT Based DC Motor Speed and Direction Controller. This Circuit controls the DC motor direction and rotati...,IoT Based DC Motor Speed and Direction Controller
Um carrinho desenvolvido em grupo pela galera de engenharia 4N.,Super Maquina
A security alarm to keep burglars\r\n,Super alarm
"Another LED Binary Clock but instead of being as bright as a 1000 suns, it dims! Also the same button that dims adjusts the time, too.","A dimming, settable binary clock"
Respiratory and breathing issues are developing step by step in light of the fact that our current circumstance has become so dirtied nowada,charlieboyd
Turn on only necessary lights according to light levels,Light Regulator
control servo motor with mkr wifi 1010,servo control off mkr wifi 1010
This course includes Java training as well so you will get a holistic app development experience.,Android development course in Lahore
turning a light on and of with 2 different switches,lamp
A LED Chaser circuit with LEDs chasing each other.,LED Knight Riders
"N00b on the Circuit Playground Express uses basic scripts to test functions, beginning with Neopixels.",Circuit Playground Express Neopixel basics
"Alarm system with a light/sound system, and a fan to distract the kidnapper!",Kidnapping Alarm System
pressure transducer controlled hotplate,pressure cooker controlled hotplate
make a 28byj-48 stepper motor turn using a rotary encoder,stepper motor being controlled by rotary encoder
A simple ultrasonic buzzer security system for a beginner's first project.,Ultra sonic buzzer security system! [FOR BEGINNER]
control de movimiento de un motor paso a paso,motor paso a paso
Primeiro projeto utilizando Arduíno project HUB,PrimeiroProjeto
Blink with distinctive pattern.,Blink2
a simple dustbin which will move with the help of wheels and will control with the help of bluetoth it will be desined specially office,make it smart dustbin
It’s going to be about a mini game that helps people with acrophobia.,Project No.1
This is IR remote controlled boat,Arduino Based Remote Controlled Boat
conectar un pulsador y un led y hacer que parpadee 5 veces tras accionar el pulsador,ejemplo
To protect my imaginary play house,Model Home Security
The Collection of garbage in Smart city through smart bins.,Waste Management using IoT
How to make Smartphone controlled NodeMCU ESP8266 4WD WiFi Robot Car & DIY Android application || Simple DIY NodeMCU WiFi Car || ESP8266 ...,Smartphone controlled NodeMCU (ESP8266) 4WD WiFi Robot Ca...
to balance a robot using mpu 6050 sensor,self balancing robot
"When I was a child, we used to make disco lamps with LEDs. Lets do this with Arduino. This is a very simple project which helps us to get a",My First Project : Glowing LED lamps with Arduino
Test Spirit Rover - A first project for Spirit Rover,First Spirit Project
"To use a computer program to allow the flow of water in to a plant, depending on the moisture content of the soil.",The Smart Garden
"Making a screen work, with this arduin project :)",The Arduino Screen Project
"There are a variety of health complications that surround an individual when they start aging, of which the most common complications are bo",CBD Relive Oil : Where to Buy CBD Relive Oil!
A quick program to give the user their body mass index.,BMI calculator
New Ringtone Net - New Ringtone 2021 - Ringtone Download 2021 - 2021 Ringtone - Ringtone Download 2021 free for mobiles by Tuffail Khan,New Ringtone Net
its a midi controller for music software,Midi Controller PS
Crackly fire using WS2812B LEDs,Fire
To turn on a strip led on an arduino,StripLed
Relocation is a tough job. With lots and lots of goods by your side it becomes a hassle for you to take th,UntitledHow to Prepare Best for Shifting
Keto BodyTone While picking a weight reduction supplement the majority of us believe that the essential fixings are the dynamic fixings.,Keto BodyTone Reviews
"Uyên Nhi là người rất thích làm đẹp, Nhi thích cập nhật những xu hướng làm đẹp mới nhất, hot nhất hiện nay về môi, mí, chân mày... đến mọi n",Phun Xăm Thẩm Mỹ
hii there how to make 5 data output code? you can help me everyone,pixel led ws2812
One Shot Keto Set up some sort of plan. Your objectives might be reached with an adjustment in your eating regimen or dietary patterns.,One Shot Keto
home temperature and humid monitor,humidity and temperature monitor
In dit project zal je zien hoe je lichten maakt van een politie,Politie lichten
blink 5 times faster fie times slower,led blink
"con rojo,verde,amarillo enciende y apaga cada led",titila-3-led
best charging solution for all your electric cars,Helios EVC 
Super easy robotic car anybody can build! (With the materials of course.) It's so easy no coding is even necessary!,Super Easy Robotic Car (No Coding Needed!)
"one stop for all your stationary. We have journals, notebook, to do list and many more. products that speak your vibes..",DeskStore : An upcoming online stationary store
use a capacitive touch sensor to control a led.,capacitive touch sensor led control
Measure the speed of the bullet with an MC,Bullet speed
i would like to build a robot car,robot car
"How high are you? No Officer, it's Hi How are you.",My_First_Test
starting vehicle based on node mcu,vehicle starter
Arduino City Module:\r\nSimulate traffic light with own made traffic lights or just with LEDS,Arduino Traffic Lights
Robot luchador de sumo con sensor ultrasónico e infrarrojos.,Luchador de sumo
"You know how annoying it can be when you need to park near a wall and you cant see how far away the wall is? Well, this can counter that!",Parking Helper :]
This project is to make a single battery tender charge my 3x 12v boat batteries all weekend,3 battery charger 
Esse projeto tem como objetivo evitar futuras multas causadas pelo farol do carro desligado em determinadas situações.,Farol Automatico
This is my first arduino robot.,Hybrid Man
My project is to light a bulb .,project sample
Arduino UNO + Rich shield for beginners and 13 kinds of input/output device practice,arduino with AI
i think to get a light to blink.,this is were it starts
And another interpretation of the ubiquitous LED cube,Rounding off a cube.
"When the pantry door is opened, a sound and light will flash. ",Pantry Door Detector
This game tests your reaction time.,Reaction led game
"Yes, that's right, we are going to build a joystick game controller for Subway Surfers using an Arduino UNO.",Joystick Game Controller Using Arduino UNO
"Here's my version of Breakout. Play by swiping your finger on the bottom of the screen, or press ""Auto Play"" where you can still jump in and play, the controller will take over when you let go.","Breakout Game--Uno w/ Adafruit 2.8"" TFT Cap Touch Shield"
Got a spare WS2812B LED and a button? Lets make a game!,LED Memory Game
"Hi 
I'm Shayan Sarker
this is my first game
made with Arduino
uno",Arduino Jump Game
"Worried about machine monitoring, build a low-cost mouse juggler with Xiao RP2040. Enjoy your Work From Home.",Xiao RP2040 Mouse Jiggler
"My topic is digital faith, how is the digital changing the way we believe?Will our faith continue to exist in a more digital age, and will people create new digital gods? Or make a pilgrimage to a digital screen?

I made up a digital Buddha.Insert the electronic incense into the incense burner, and the machine will print the result of your request.
",Electronic shrine design
We are Brisbane base professional painting service provider.,Painters Brisbane
"The highest degree of protection must be provided for institutions like banks, government buildings, and hospitals.",Buy Surveillance System
"I take a probe which had a light bulb in it and fit an oled display, turning it into a voltmeter",Digital voltmeter probe
Ditch the solderless breadboard and use this shield to learn Arduino programming and develop interesting sketches and projects.,Experimental & Learning Shield for Arduino UNO
This project can control a loud speaker.,Speaker Code
I want to know it because I really like it!,Music Instruments
Hi my name is Jackson made this project,Jackson c cool robot
I build a 64-key wooden piano with an arduino UNO electronics,piano wood
Voice activated usb hub with pi zero without headers,AIY Voice
"Some action games will throw the player into a huge battlefield, right from the first minutes. They make players feel overwhelmed and heart-",Untitled
"es para el equipo de tecnología de 2°C ""Mundo Tecnológico"".",luces DE semáforos PARA no VIDENTES
Lamp that turns on and turns off with claps.,Lamp
3 leds 2 buttons and one buzzer are braking the game,GAME BRAKER
"im just starting to code, and this is my first project so please dont tell me its bad lol",stats projects
3 leds 2 buttons and 1 buzzer are braking the game ,GAME BRAKER
Just a simpel Flight Panel for the Game Star Citizen,Flight Panel
Testing out and Developing my first Arduino program.,First Project!
เว็บเดิมพันกีฬาออนไลน์ คาสิโนออนไลน์ ที่ดีที่สุดของคนไทย,ufabet-168
press the right button based on the lights.,Press. That. Button!
"coba-coba saja, apa bisa buat flip flop serderhana",Flip-flop
"Basic GPS speedometer, displays only speed on OLED",GPS Speedo attempt
Here is code for a modern awesome real time clock (RTC) for MKR IoT Carrier Rev 2. There is a date and time display.,RTC with WiFi and MKR IoT Carrier Rev2
Once working we will have a lot of fun with these matrix panels,Using the Max7219 LED matrix. Select the correct hardware.  Part 1 of 11
"Welcome to our Arduino-based Heart Rate Sensor project! In this project, we'll be using an Arduino board to create a heart rate monitoring system. By interfacing a heart rate sensor with the Arduino, we can measure and display the user's heart rate in real-time. This project is not only fun and educational but also has practical applications in health and fitness monitoring.",Arduino Based Heart Rate Sensor
Library Construction and Screening,Library Construction and Screening
