id,d_question-submitted,question_translated
c68081b5-2c7a-477c-b12b-3dbe6181c6e2,Write a function to animate an LED string of 250 leds to send a wave of red down the string that takes 1 second to complete. make it non-blocking so other code can keep executing in the loop as well,Write a function to animate an LED string of 250 leds to send a wave of red down the string that takes 1 second to complete. make it non-blocking so other code can keep executing in the loop as well
985d8758-032c-483a-b11b-3e81566a0ea3,Make a variable I can change called tail_length that slowly fades out the LEDs right behind the red wave with a length of tail_length,Make a variable I can change called tail_length that slowly fades out the LEDs right behind the red wave with a length of tail_length
09fe35b7-6c16-4cb8-a807-88ecf14658fc,"the code is not correct, is made for the Arduino portenta machine control. it does not do anything that you have explained.","the code is not correct, is made for the Arduino portenta machine control. it does not do anything that you have explained."
362b1768-cea9-4aba-b94b-324879cc1149,I have a PT100 sensor and I want to use opta. what I can do ? which component I need to buy?,I have a PT100 sensor and I want to use opta. what I can do ? which component I need to buy?
fa98a18c-d410-4008-b099-5301c5da5b35,"I don't want to use the cloud. and I've heard that I can use an expansion for opta, is it tru?","I don't want to use the cloud. and I've heard that I can use an expansion for opta, is it tru?"
f0cecc9a-e146-4958-9870-8780bb8b57e2,"I Have in my sketchbook , a sketch called airdrum.ino (which is actually opened in the editor) . is this code suitable for a nano esp32?","I Have in my sketchbook , a sketch called airdrum.ino (which is actually opened in the editor) . is this code suitable for a nano esp32?"
50b1faee-281c-4819-9681-07b4cd5f2b95,ok here's the code,ok here's the code
0cd799b7-cfa9-4a76-aca4-35e087aa71c3,which are the i2c pins on the nano esp32 ? can you please provide a scheme or diagram on how to connect the different pins?,which are the i2c pins on the nano esp32 ? can you please provide a scheme or diagram on how to connect the different pins?
9f41a301-d844-4562-8836-f30e95ca3781,"I have an opta, but I don't know which model is... can you please help me to discover ?","I have an opta, but I don't know which model is... can you please help me to discover ?"
171a3a0d-8d60-4dab-8efa-f102905df7ea,"no , the opta does not have 2 RS485 ports but only one. the ethernet port is available on all the models . no opta have a display OLED","no , the opta does not have 2 RS485 ports but only one. the ethernet port is available on all the models . no opta have a display OLED"
8c355dff-47fb-4253-b022-77fffaa04197,I need to connect OPTA to an expansion board. I have a PTC sensor and I don't know which option can suit my needs,I need to connect OPTA to an expansion board. I have a PTC sensor and I don't know which option can suit my needs
